"category","subcategory","product_name","code","size","unit","moq","price","image_url","notes","active"
"Polygel","Polygel","LC-ACY-PG-01","LC-ACY-PG-01","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY-PG-01.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY-PG-02","LC-ACY-PG-02","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY-PG-02.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY-PG-03","LC-ACY-PG-03","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY-PG-03.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY-PG-04","LC-ACY-PG-04","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY-PG-04.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY-PG-05","LC-ACY-PG-05","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY-PG-05.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY-PG-06","LC-ACY-PG-06","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY-PG-06.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY-PG-07","LC-ACY-PG-07","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY-PG-07.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY-PG-08","LC-ACY-PG-08","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY-PG-08.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY-PG-09","LC-ACY-PG-09","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY-PG-09.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY-PG-10","LC-ACY-PG-10","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY-PG-10.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY-PG-11","LC-ACY-PG-11","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY-PG-11.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY-PG-12","LC-ACY-PG-12","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY-PG-12.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY-PG-13","LC-ACY-PG-13","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY-PG-13.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY-PG-14","LC-ACY-PG-14","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY-PG-14.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY-PG-15","LC-ACY-PG-15","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY-PG-15.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY-PG-16","LC-ACY-PG-16","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY-PG-16.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY-PG-17","LC-ACY-PG-17","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY-PG-17.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY-PG-18","LC-ACY-PG-18","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY-PG-18.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_A-PG-02","LC-ACY_A-PG-02","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_A-PG-02.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_A-PG-03","LC-ACY_A-PG-03","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_A-PG-03.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_A-PG-04","LC-ACY_A-PG-04","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_A-PG-04.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_A-PG-05","LC-ACY_A-PG-05","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_A-PG-05.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_A-PG-06","LC-ACY_A-PG-06","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_A-PG-06.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_A-PG-07","LC-ACY_A-PG-07","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_A-PG-07.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_A-PG-08","LC-ACY_A-PG-08","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_A-PG-08.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_A-PG-09","LC-ACY_A-PG-09","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_A-PG-09.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_A-PG-10","LC-ACY_A-PG-10","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_A-PG-10.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_A-PG-11","LC-ACY_A-PG-11","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_A-PG-11.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_A-PG-12","LC-ACY_A-PG-12","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_A-PG-12.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_A-PG-13","LC-ACY_A-PG-13","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_A-PG-13.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_A-PG-14","LC-ACY_A-PG-14","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_A-PG-14.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_A-PG-15","LC-ACY_A-PG-15","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_A-PG-15.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_A-PG-16","LC-ACY_A-PG-16","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_A-PG-16.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_A-PG-17","LC-ACY_A-PG-17","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_A-PG-17.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_A-PG-18","LC-ACY_A-PG-18","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_A-PG-18.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_A-PG-19","LC-ACY_A-PG-19","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_A-PG-19.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_A-PG-20","LC-ACY_A-PG-20","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_A-PG-20.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_A-PG-21","LC-ACY_A-PG-21","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_A-PG-21.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_A-PG-22","LC-ACY_A-PG-22","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_A-PG-22.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_A-PG-23","LC-ACY_A-PG-23","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_A-PG-23.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_A-PG-24","LC-ACY_A-PG-24","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_A-PG-24.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_A-PG-25","LC-ACY_A-PG-25","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_A-PG-25.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_A-PG-26","LC-ACY_A-PG-26","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_A-PG-26.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_BA-PG-01","LC-ACY_BA-PG-01","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_BA-PG-01.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_BA-PG-02","LC-ACY_BA-PG-02","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_BA-PG-02.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_BA-PG-03","LC-ACY_BA-PG-03","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_BA-PG-03.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_BA-PG-04","LC-ACY_BA-PG-04","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_BA-PG-04.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_BA-PG-05","LC-ACY_BA-PG-05","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_BA-PG-05.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_BA-PG-06","LC-ACY_BA-PG-06","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_BA-PG-06.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_BA-PG-07","LC-ACY_BA-PG-07","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_BA-PG-07.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_BA-PG-08","LC-ACY_BA-PG-08","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_BA-PG-08.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_BA-PG-09","LC-ACY_BA-PG-09","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_BA-PG-09.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_BA-PG-10","LC-ACY_BA-PG-10","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_BA-PG-10.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_BA-PG-11","LC-ACY_BA-PG-11","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_BA-PG-11.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_BA-PG-12","LC-ACY_BA-PG-12","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_BA-PG-12.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_BA-PG-13","LC-ACY_BA-PG-13","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_BA-PG-13.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_BA-PG-14","LC-ACY_BA-PG-14","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_BA-PG-14.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_BA-PG-15","LC-ACY_BA-PG-15","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_BA-PG-15.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_BA-PG-16","LC-ACY_BA-PG-16","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_BA-PG-16.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_BA-PG-17","LC-ACY_BA-PG-17","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_BA-PG-17.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_BA-PG-18","LC-ACY_BA-PG-18","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_BA-PG-18.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_BA-PG-19","LC-ACY_BA-PG-19","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_BA-PG-19.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_BA-PG-20","LC-ACY_BA-PG-20","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_BA-PG-20.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_BA-PG-21","LC-ACY_BA-PG-21","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_BA-PG-21.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_BA-PG-22","LC-ACY_BA-PG-22","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_BA-PG-22.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_H_SPG-01","LC-ACY_H_SPG-01","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_H_SPG-01.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_H_SPG-02","LC-ACY_H_SPG-02","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_H_SPG-02.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_H_SPG-03","LC-ACY_H_SPG-03","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_H_SPG-03.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_H_SPG-04","LC-ACY_H_SPG-04","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_H_SPG-04.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_H_SPG-05","LC-ACY_H_SPG-05","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_H_SPG-05.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_H_SPG-06","LC-ACY_H_SPG-06","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_H_SPG-06.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_H_SPG-07","LC-ACY_H_SPG-07","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_H_SPG-07.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_H_SPG-08","LC-ACY_H_SPG-08","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_H_SPG-08.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_H_SPG-09","LC-ACY_H_SPG-09","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_H_SPG-09.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_H_SPG-10","LC-ACY_H_SPG-10","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_H_SPG-10.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_H_SPG-11","LC-ACY_H_SPG-11","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_H_SPG-11.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_H_SPG-12","LC-ACY_H_SPG-12","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_H_SPG-12.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_H_SPG-13","LC-ACY_H_SPG-13","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_H_SPG-13.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_H_SPG-14","LC-ACY_H_SPG-14","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_H_SPG-14.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_H_SPG-15","LC-ACY_H_SPG-15","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_H_SPG-15.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_H_SPG-16","LC-ACY_H_SPG-16","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_H_SPG-16.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_H_SPG-17","LC-ACY_H_SPG-17","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_H_SPG-17.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_H_SPG-18","LC-ACY_H_SPG-18","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_H_SPG-18.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_H_SPG-19","LC-ACY_H_SPG-19","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_H_SPG-19.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_H_SPG-20","LC-ACY_H_SPG-20","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_H_SPG-20.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_H_SPG-21","LC-ACY_H_SPG-21","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_H_SPG-21.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_H_SPG-22","LC-ACY_H_SPG-22","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_H_SPG-22.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_H_SPG-23","LC-ACY_H_SPG-23","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_H_SPG-23.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC-ACY_H_SPG-24","LC-ACY_H_SPG-24","30","g","100","0","/img/b2b/Polygels/polygel/LC-ACY_H_SPG-24.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_AC-N-PG01","LC_AC-N-PG01","30","g","100","0","/img/b2b/Polygels/polygel/LC_AC-N-PG01.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_AC-N-PG02","LC_AC-N-PG02","30","g","100","0","/img/b2b/Polygels/polygel/LC_AC-N-PG02.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_AC-N-PG03","LC_AC-N-PG03","30","g","100","0","/img/b2b/Polygels/polygel/LC_AC-N-PG03.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_AC-N-PG04","LC_AC-N-PG04","30","g","100","0","/img/b2b/Polygels/polygel/LC_AC-N-PG04.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_AC-N-PG05","LC_AC-N-PG05","30","g","100","0","/img/b2b/Polygels/polygel/LC_AC-N-PG05.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_AC-N-PG06","LC_AC-N-PG06","30","g","100","0","/img/b2b/Polygels/polygel/LC_AC-N-PG06.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_AC-N-PG07","LC_AC-N-PG07","30","g","100","0","/img/b2b/Polygels/polygel/LC_AC-N-PG07.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_AC-N-PG08","LC_AC-N-PG08","30","g","100","0","/img/b2b/Polygels/polygel/LC_AC-N-PG08.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_AC-N-PG09","LC_AC-N-PG09","30","g","100","0","/img/b2b/Polygels/polygel/LC_AC-N-PG09.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_AC-N-PG10","LC_AC-N-PG10","30","g","100","0","/img/b2b/Polygels/polygel/LC_AC-N-PG10.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_AC-N-PG11","LC_AC-N-PG11","30","g","100","0","/img/b2b/Polygels/polygel/LC_AC-N-PG11.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_AC-N-PG12","LC_AC-N-PG12","30","g","100","0","/img/b2b/Polygels/polygel/LC_AC-N-PG12.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_AC-N-PG13","LC_AC-N-PG13","30","g","100","0","/img/b2b/Polygels/polygel/LC_AC-N-PG13.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_AC-N-PG14","LC_AC-N-PG14","30","g","100","0","/img/b2b/Polygels/polygel/LC_AC-N-PG14.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_AC-N-PG15","LC_AC-N-PG15","30","g","100","0","/img/b2b/Polygels/polygel/LC_AC-N-PG15.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_AC-N-PG16","LC_AC-N-PG16","30","g","100","0","/img/b2b/Polygels/polygel/LC_AC-N-PG16.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_AC-N-PG17","LC_AC-N-PG17","30","g","100","0","/img/b2b/Polygels/polygel/LC_AC-N-PG17.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_AC-N-PG18","LC_AC-N-PG18","30","g","100","0","/img/b2b/Polygels/polygel/LC_AC-N-PG18.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_AC-N-PG19","LC_AC-N-PG19","30","g","100","0","/img/b2b/Polygels/polygel/LC_AC-N-PG19.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_AC-N-PG20","LC_AC-N-PG20","30","g","100","0","/img/b2b/Polygels/polygel/LC_AC-N-PG20.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_AC-N-PG21","LC_AC-N-PG21","30","g","100","0","/img/b2b/Polygels/polygel/LC_AC-N-PG21.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_AC-N-PG22","LC_AC-N-PG22","30","g","100","0","/img/b2b/Polygels/polygel/LC_AC-N-PG22.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_AC-N-PG23","LC_AC-N-PG23","30","g","100","0","/img/b2b/Polygels/polygel/LC_AC-N-PG23.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-PR-PG01","LC_ACY-PR-PG01","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-PR-PG01.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-PR-PG02","LC_ACY-PR-PG02","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-PR-PG02.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-PR-PG03","LC_ACY-PR-PG03","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-PR-PG03.webp","AUTO_B2B_FROM_IMAGE","TRUE"
