Internal_SKU,HEX,Hue_Degrees,Saturation_Value,Brightness_Value,Auto_Depth_Score
LC-GP-0071,#F88098,348.0,48.4,97.3,1
LC-GP-0072,#F87890,348.8,51.6,97.3,1
LC-GP-0073,#F88090,352.0,48.4,97.3,1
LC-GP-0074,#F87080,352.9,54.8,97.3,1
LC-GP-0075,#F06878,352.9,56.7,94.1,2
LC-GP-0076,#E87078,356.0,51.7,91.0,2
LC-GP-0077,#F08890,355.4,43.3,94.1,2
LC-GP-0078,#F07878,0.0,50.0,94.1,2
LC-GP-0079,#F08878,8.0,50.0,94.1,2
LC-GP-0080,#F86860,3.2,61.3,97.3,1
LC-GP-0081,#D86878,351.4,51.9,84.7,2
LC-GP-0082,#F07080,352.5,53.3,94.1,2
LC-GP-0083,#F88088,356.0,48.4,97.3,1
LC-GP-0084,#F87888,352.5,51.6,97.3,1
LC-GP-0085,#E85868,353.3,62.1,91.0,2
LC-GP-0086,#D83838,0.0,74.1,84.7,2
LC-GP-0087,#E87080,352.0,51.7,91.0,2
LC-GP-0088,#D06880,346.2,50.0,81.6,3
LC-GP-0089,#E86080,345.9,58.6,91.0,2
LC-GP-0090,#E86890,341.2,55.2,91.0,2
LC-GP-0091,#D05078,341.2,61.5,81.6,3
LC-GP-0092,#C84870,341.2,64.0,78.4,3
LC-GP-0093,#E85870,350.0,62.1,91.0,2
LC-GP-0094,#E85868,353.3,62.1,91.0,2
LC-GP-0095,#D06880,346.2,50.0,81.6,3
LC-GP-0096,#C03860,342.4,70.8,75.3,3
LC-GP-0097,#C85868,351.4,56.0,78.4,3
LC-GP-0098,#C04058,348.8,66.7,75.3,3
LC-GP-0099,#B04860,346.2,59.1,69.0,4
LC-GP-0100,#C04058,348.8,66.7,75.3,3
LC-GP-0101,#C83050,347.4,76.0,78.4,3
LC-GP-0102,#B83048,349.4,73.9,72.2,4
LC-GP-0103,#C02838,353.7,79.2,75.3,3
LC-GP-0104,#C02038,351.0,83.3,75.3,3
LC-GP-0105,#C02040,348.0,83.3,75.3,3
LC-GP-0106,#C02840,350.5,79.2,75.3,3
LC-GP-0107,#C02848,347.4,79.2,75.3,3
LC-GP-0108,#D03858,347.4,73.1,81.6,3
LC-GP-0109,#D01040,345.0,92.3,81.6,3
LC-GP-0110,#B01828,353.7,86.4,69.0,4
LC-GP-0111,#C02030,354.0,83.3,75.3,3
LC-GP-0112,#C02030,354.0,83.3,75.3,3
LC-GP-0113,#B03038,356.2,72.7,69.0,4
LC-GP-0114,#A02830,356.0,75.0,62.7,4
LC-GP-0115,#A02838,352.0,75.0,62.7,4
LC-GP-0116,#901020,352.5,88.9,56.5,5
LC-GP-0117,#882030,350.8,76.5,53.3,5
LC-GP-0118,#981830,348.8,84.2,59.6,5
LC-GP-0119,#981820,356.2,84.2,59.6,5
LC-GP-0120,#C81048,341.7,92.0,78.4,3
LC-GP-0121,#B01010,0.0,90.9,69.0,4
LC-GP-0122,#B01018,357.0,90.9,69.0,4
LC-GP-0123,#901820,356.0,83.3,56.5,5
LC-GP-0124,#581828,345.0,72.7,34.5,7
LC-GP-0125,#501820,351.4,70.0,31.4,7
LC-GP-0126,#B01820,356.8,86.4,69.0,4
LC-GP-0127,#C01820,357.1,87.5,75.3,3
LC-GP-0128,#C81820,357.3,88.0,78.4,3
LC-GP-0129,#F02850,348.0,83.3,94.1,2
LC-GP-0130,#F03028,2.4,83.3,94.1,2
LC-GP-0131,#F84050,354.8,74.2,97.3,1
LC-GP-0132,#E82830,357.5,82.8,91.0,2
LC-GP-0133,#E02828,0.0,82.1,87.8,2
LC-GP-0134,#C82838,354.0,80.0,78.4,3
LC-GP-0135,#C82818,5.5,88.0,78.4,3
LC-GP-0136,#E82840,352.5,82.8,91.0,2
LC-GP-0137,#C81818,0.0,88.0,78.4,3
LC-GP-0138,#D82828,0.0,81.5,84.7,2
LC-GP-0139,#D01818,0.0,88.5,81.6,3
LC-GP-0140,#D01010,0.0,92.3,81.6,3
LC-GP-0141,#C81828,354.5,88.0,78.4,3
LC-GP-0142,#C01820,357.1,87.5,75.3,3
LC-GP-0143,#C81828,354.5,88.0,78.4,3
LC-GP-0144,#C01828,354.3,87.5,75.3,3
LC-GP-0145,#C81820,357.3,88.0,78.4,3
LC-GP-0146,#D81810,2.4,92.6,84.7,2
LC-GP-0147,#C82018,2.7,88.0,78.4,3
LC-GP-0148,#C81820,357.3,88.0,78.4,3
LC-GP-0149,#D81008,2.3,96.3,84.7,2
LC-GP-0150,#D01018,357.5,92.3,81.6,3
LC-GP-0151,#D01010,0.0,92.3,81.6,3
LC-GP-0152,#C82038,351.4,84.0,78.4,3
LC-GP-0153,#C01018,357.3,91.7,75.3,3
LC-GP-0154,#C81018,357.4,92.0,78.4,3
LC-GP-0155,#B80810,357.3,95.7,72.2,4
LC-GP-0156,#C81828,354.5,88.0,78.4,3
LC-GP-0157,#C81820,357.3,88.0,78.4,3
LC-GP-0158,#C81818,0.0,88.0,78.4,3
LC-GP-0159,#C01818,0.0,87.5,75.3,3
LC-GP-0160,#D81810,2.4,92.6,84.7,2
LC-GP-0161,#C81820,357.3,88.0,78.4,3
LC-GP-0162,#C81820,357.3,88.0,78.4,3
LC-GP-0163,#B01818,0.0,86.4,69.0,4
LC-GP-0164,#D02030,354.5,84.6,81.6,3
LC-GP-0165,#C81828,354.5,88.0,78.4,3
LC-GP-0166,#A01820,356.5,85.0,62.7,4
LC-GP-0167,#B01820,356.8,86.4,69.0,4
LC-GP-0168,#B01810,3.0,90.9,69.0,4
LC-GP-0169,#882028,355.4,76.5,53.3,5
LC-GP-0170,#A81828,353.3,85.7,65.9,4
LC-GP-0171,#B01828,353.7,86.4,69.0,4
LC-GP-0172,#A81028,350.5,90.5,65.9,4
LC-GP-0173,#982030,352.0,78.9,59.6,5
LC-GP-0174,#901828,352.0,83.3,56.5,5
LC-GP-0175,#701828,349.1,78.6,43.9,6
LC-GP-0176,#901830,348.0,83.3,56.5,5
LC-GP-0177,#701818,0.0,78.6,43.9,6
LC-GP-0178,#781028,346.2,86.7,47.1,6
LC-GP-0179,#401010,0.0,75.0,25.1,8
LC-GP-0180,#802038,345.0,75.0,50.2,5
LC-GP-0181,#782828,0.0,66.7,47.1,6
LC-GP-0182,#601828,346.7,75.0,37.6,7
LC-GP-0183,#681820,354.0,76.9,40.8,6
LC-GP-0184,#601818,0.0,75.0,37.6,7
LC-GP-0185,#582030,342.9,63.6,34.5,7
LC-GP-0186,#602020,0.0,66.7,37.6,7
LC-GP-0187,#681830,342.0,76.9,40.8,6
LC-GP-0188,#602020,0.0,66.7,37.6,7
LC-GP-0189,#601828,346.7,75.0,37.6,7
LC-GP-0190,#702018,5.5,78.6,43.9,6
LC-GP-0191,#800838,336.0,93.8,50.2,5
LC-GP-0192,#582030,342.9,63.6,34.5,7
LC-GP-0193,#782020,0.0,73.3,47.1,6
LC-GP-0194,#902028,355.7,77.8,56.5,5
LC-GP-0195,#A01018,356.7,90.0,62.7,4
LC-GP-0196,#981828,352.5,84.2,59.6,5
LC-GP-0197,#981020,352.9,89.5,59.6,5
LC-GP-0198,#A81020,353.7,90.5,65.9,4
LC-GP-0199,#901020,352.5,88.9,56.5,5
LC-GP-0200,#981838,345.0,84.2,59.6,5
LC-GP-0201,#B01028,351.0,90.9,69.0,4
LC-GP-0202,#A80820,351.0,95.2,65.9,4
LC-GP-0203,#A81020,353.7,90.5,65.9,4
LC-GP-0204,#A01018,356.7,90.0,62.7,4
LC-GP-0205,#C80020,350.4,100.0,78.4,3
LC-GP-0206,#B81028,351.4,91.3,72.2,4
LC-GP-0207,#C81018,357.4,92.0,78.4,3
LC-GP-0208,#D80008,357.8,100.0,84.7,2
LC-GP-0209,#B01028,351.0,90.9,69.0,4
LC-GP-0210,#B81030,348.6,91.3,72.2,4
LC-GP-0211,#C01840,345.7,87.5,75.3,3
LC-GP-0212,#C01828,354.3,87.5,75.3,3
LC-GP-0213,#C81830,351.8,88.0,78.4,3
LC-GP-0214,#B81828,354.0,87.0,72.2,4
LC-GP-0215,#B02828,0.0,77.3,69.0,4
LC-GP-0216,#D83850,351.0,74.1,84.7,2
LC-GP-0217,#F85068,351.4,67.7,97.3,1
LC-GP-0218,#F06860,3.3,60.0,94.1,2
LC-GP-0219,#B05040,8.6,63.6,69.0,4
LC-GP-0220,#A04048,355.0,60.0,62.7,4
LC-GP-0221,#C85050,0.0,60.0,78.4,3
LC-GP-0222,#E05070,346.7,64.3,87.8,2
LC-GP-0223,#C06890,332.7,45.8,75.3,3
LC-GP-0224,#E86080,345.9,58.6,91.0,2
LC-GP-0225,#C88090,346.7,36.0,78.4,3
LC-GP-0226,#E890A0,349.1,37.9,91.0,2
LC-GP-0227,#F088A8,341.5,43.3,94.1,2
LC-GP-0228,#F08098,347.1,46.7,94.1,2
LC-GP-0229,#E898B8,336.0,34.5,91.0,2
LC-GP-0230,#D888A8,336.0,37.0,84.7,2
LC-GP-0231,#F878A0,341.2,51.6,97.3,1
LC-GP-0232,#F078A0,340.0,50.0,94.1,2
LC-GP-0233,#F888C0,330.0,45.2,97.3,1
LC-GP-0234,#E878B0,330.0,48.3,91.0,2
LC-GP-0235,#F890B0,341.5,41.9,97.3,1
LC-GP-0236,#F080A0,342.9,46.7,94.1,2
LC-GP-0237,#E07898,341.5,46.4,87.8,2
LC-GP-0238,#F07898,344.0,50.0,94.1,2
LC-GP-0239,#E07098,338.6,50.0,87.8,2
LC-GP-0240,#E05888,338.8,60.7,87.8,2
LC-GP-0241,#D87098,336.9,48.1,84.7,2
LC-GP-0242,#E84878,342.0,69.0,91.0,2
LC-GP-0243,#E85880,343.3,62.1,91.0,2
LC-GP-0244,#F84868,349.1,71.0,97.3,1
LC-GP-0245,#F85068,351.4,67.7,97.3,1
LC-GP-0246,#F83868,345.0,77.4,97.3,1
LC-GP-0247,#E01850,343.2,89.3,87.8,2
LC-GP-0248,#F03078,337.5,80.0,94.1,2
LC-GP-0249,#F03068,342.5,80.0,94.1,2
LC-GP-0250,#F02860,343.2,83.3,94.1,2
LC-GP-0251,#F85888,342.0,64.5,97.3,1
LC-GP-0252,#F03088,332.5,80.0,94.1,2
LC-GP-0253,#F83078,338.4,80.6,97.3,1
LC-GP-0254,#F04078,340.9,73.3,94.1,2
LC-GP-0255,#F82088,331.1,87.1,97.3,1
LC-GP-0256,#F84090,333.9,74.2,97.3,1
LC-GP-0257,#F060A0,333.3,60.0,94.1,2
LC-GP-0258,#E84080,337.1,72.4,91.0,2
LC-GP-0259,#E85070,347.4,65.5,91.0,2
LC-GP-0260,#C03058,343.3,75.0,75.3,3
LC-GP-0261,#C03060,340.0,75.0,75.3,3
LC-GP-0262,#D03070,336.0,76.9,81.6,3
LC-GP-0263,#C03868,338.8,70.8,75.3,3
LC-GP-0264,#C03868,338.8,70.8,75.3,3
LC-GP-0265,#D05078,341.2,61.5,81.6,3
LC-GP-0266,#D03878,334.7,73.1,81.6,3
LC-GP-0267,#D03870,337.9,73.1,81.6,3
LC-GP-0268,#C85080,336.0,60.0,78.4,3
LC-GP-0269,#D85078,342.4,63.0,84.7,2
LC-GP-0270,#F878B0,333.8,51.6,97.3,1
LC-GP-0271,#F070B8,326.2,53.3,94.1,2
LC-GP-0272,#E878C8,317.1,48.3,91.0,2
LC-GP-0273,#C84890,326.2,64.0,78.4,3
LC-GP-0274,#D858A0,326.2,59.3,84.7,2
LC-GP-0275,#C050A8,312.9,58.3,75.3,3
LC-GP-0276,#E840D0,308.6,72.4,91.0,2
LC-GP-0277,#E028A0,320.9,82.1,87.8,2
LC-GP-0278,#C00088,317.5,100.0,75.3,3
LC-GP-0279,#A03060,334.3,70.0,62.7,4
LC-GP-0280,#B02090,313.3,81.8,69.0,4
LC-GP-0281,#801840,336.9,81.2,50.2,5
LC-GP-0282,#A82088,314.1,81.0,65.9,4
LC-GP-0283,#880878,307.5,94.1,53.3,5
LC-GP-0284,#703098,276.9,68.4,59.6,5
LC-GP-0285,#382040,285.0,50.0,25.1,8
LC-GP-0286,#A00890,306.3,95.0,62.7,4
LC-GP-0287,#A030A8,296.0,71.4,65.9,4
LC-GP-0288,#C81088,320.9,92.0,78.4,3
LC-GP-0289,#D82878,332.7,81.5,84.7,2
LC-GP-0290,#C02068,333.0,83.3,75.3,3
LC-GP-0291,#B83060,338.8,73.9,72.2,4
LC-GP-0292,#C01850,340.0,87.5,75.3,3
LC-GP-0293,#C03858,345.9,70.8,75.3,3
LC-GP-0294,#C01840,345.7,87.5,75.3,3
LC-GP-0295,#B81830,351.0,87.0,72.2,4
LC-GP-0296,#B02030,353.3,81.8,69.0,4
LC-GP-0297,#B02048,343.3,81.8,69.0,4
LC-GP-0298,#A01010,0.0,90.0,62.7,4
LC-GP-0299,#B01828,353.7,86.4,69.0,4
LC-GP-0300,#B80810,357.3,95.7,72.2,4
LC-GP-0301,#C80838,345.0,96.0,78.4,3
LC-GP-0302,#A80848,336.0,95.2,65.9,4
LC-GP-0303,#602020,0.0,66.7,37.6,7
LC-GP-0304,#980840,336.7,94.7,59.6,5
LC-GP-0305,#882028,355.4,76.5,53.3,5
LC-GP-0306,#982848,342.9,73.7,59.6,5
LC-GP-0307,#A80818,354.0,95.2,65.9,4
LC-GP-0308,#882030,350.8,76.5,53.3,5
LC-GP-0309,#C80840,342.5,96.0,78.4,3
LC-GP-0310,#B01040,342.0,90.9,69.0,4
LC-GP-0311,#A01048,336.7,90.0,62.7,4
LC-GP-0312,#901828,352.0,83.3,56.5,5
LC-GP-0313,#881838,342.9,82.4,53.3,5
LC-GP-0314,#782040,338.2,73.3,47.1,6
LC-GP-0315,#981048,335.3,89.5,59.6,5
LC-GP-0316,#B01858,334.7,86.4,69.0,4
LC-GP-0317,#601010,0.0,83.3,37.6,7
LC-GP-0318,#581820,352.5,72.7,34.5,7
LC-GP-0319,#602030,345.0,66.7,37.6,7
LC-GP-0320,#982050,336.0,78.9,59.6,5
LC-GP-0321,#701038,335.0,85.7,43.9,6
LC-GP-0322,#581028,340.0,81.8,34.5,7
LC-GP-0323,#782050,327.3,73.3,47.1,6
LC-GP-0324,#903868,327.3,61.1,56.5,5
LC-GP-0325,#982050,336.0,78.9,59.6,5
LC-GP-0326,#A02050,337.5,80.0,62.7,4
LC-GP-0327,#781848,330.0,80.0,47.1,6
LC-GP-0328,#682050,320.0,69.2,40.8,6
LC-GP-0329,#701858,316.4,78.6,43.9,6
LC-GP-0330,#581840,322.5,72.7,34.5,7
LC-GP-0331,#683050,325.7,53.8,40.8,6
LC-GP-0332,#703050,330.0,57.1,43.9,6
LC-GP-0333,#501850,300.0,70.0,31.4,7
LC-GP-0334,#401840,300.0,62.5,25.1,8
LC-GP-0335,#701868,305.5,78.6,43.9,6
LC-GP-0336,#702860,313.3,64.3,43.9,6
LC-GP-0337,#482028,348.0,55.6,28.2,7
LC-GP-0338,#602040,330.0,66.7,37.6,7
LC-GP-0339,#601828,346.7,75.0,37.6,7
LC-GP-0340,#882050,332.3,76.5,53.3,5
LC-GP-0341,#783058,326.7,60.0,47.1,6
LC-GP-0342,#882040,341.5,76.5,53.3,5
LC-GP-0343,#801830,346.2,81.2,50.2,5
LC-GP-0344,#701828,349.1,78.6,43.9,6
LC-GP-0345,#602028,352.5,66.7,37.6,7
LC-GP-0346,#603850,324.0,41.7,37.6,7
LC-GP-0347,#704050,340.0,42.9,43.9,6
LC-GP-0348,#581020,346.7,81.8,34.5,7
LC-GP-0349,#502838,336.0,50.0,31.4,7
LC-GP-0350,#381818,0.0,57.1,22.0,8
LC-GP-0351,#481818,0.0,66.7,28.2,7
LC-GP-0352,#401818,0.0,62.5,25.1,8
LC-GP-0353,#905860,351.4,38.9,56.5,5
LC-GP-0354,#806068,345.0,25.0,50.2,5
LC-GP-0355,#905058,352.5,44.4,56.5,5
LC-GP-0356,#685060,320.0,23.1,40.8,6
LC-GP-0357,#503038,345.0,40.0,31.4,7
LC-GP-0358,#602830,351.4,58.3,37.6,7
LC-GP-0359,#603038,350.0,50.0,37.6,7
LC-GP-0360,#702830,353.3,64.3,43.9,6
LC-GP-0361,#784858,340.0,40.0,47.1,6
LC-GP-0362,#704050,340.0,42.9,43.9,6
LC-GP-0363,#784850,350.0,40.0,47.1,6
LC-GP-0364,#603838,0.0,41.7,37.6,7
LC-GP-0365,#704040,0.0,42.9,43.9,6
LC-GP-0366,#804848,0.0,43.8,50.2,5
LC-GP-0367,#684048,348.0,38.5,40.8,6
LC-GP-0368,#705048,12.0,35.7,43.9,6
LC-GP-0369,#A87888,340.0,28.6,65.9,4
LC-GP-0370,#B08088,350.0,27.3,69.0,4
LC-GP-0371,#B88080,0.0,30.4,72.2,4
LC-GP-0372,#B07878,0.0,31.8,69.0,4
LC-GP-0373,#A88080,0.0,23.8,65.9,4
LC-GP-0374,#A08088,345.0,20.0,62.7,4
LC-GP-0375,#B08080,0.0,27.3,69.0,4
LC-GP-0376,#B88080,0.0,30.4,72.2,4
LC-GP-0377,#A87070,0.0,33.3,65.9,4
LC-GP-0378,#C09898,0.0,20.8,75.3,3
LC-GP-0379,#B88890,350.0,26.1,72.2,4
LC-GP-0380,#B89090,0.0,21.7,72.2,4
LC-GP-0381,#C098A0,348.0,20.8,75.3,3
LC-GP-0382,#B090A0,330.0,18.2,69.0,4
LC-GP-0383,#B08890,348.0,22.7,69.0,4
LC-GP-0384,#C090A0,340.0,25.0,75.3,3
LC-GP-0385,#C89898,0.0,24.0,78.4,3
LC-GP-0386,#C09890,10.0,25.0,75.3,3
LC-GP-0387,#C8A8A8,0.0,16.0,78.4,3
LC-GP-0388,#B88880,8.6,30.4,72.2,4
LC-GP-0389,#C09088,8.6,29.2,75.3,3
LC-GP-0390,#B88880,8.6,30.4,72.2,4
LC-GP-0391,#C08888,0.0,29.2,75.3,3
LC-GP-0392,#B08888,0.0,22.7,69.0,4
LC-GP-0393,#B89090,0.0,21.7,72.2,4
LC-GP-0394,#B88080,0.0,30.4,72.2,4
LC-GP-0395,#B08880,10.0,27.3,69.0,4
LC-GP-0396,#C08890,351.4,29.2,75.3,3
LC-GP-0397,#B88888,0.0,26.1,72.2,4
LC-GP-0398,#C09898,0.0,20.8,75.3,3
LC-GP-0399,#B89090,0.0,21.7,72.2,4
LC-GP-0400,#B08888,0.0,22.7,69.0,4
LC-GP-0401,#C89890,8.6,28.0,78.4,3
LC-GP-0402,#C89890,8.6,28.0,78.4,3
LC-GP-0403,#C8A0A0,0.0,20.0,78.4,3
LC-GP-0404,#C89888,15.0,32.0,78.4,3
LC-GP-0405,#D89888,12.0,37.0,84.7,2
LC-GP-0406,#E09890,6.0,35.7,87.8,2
LC-GP-0407,#D89888,12.0,37.0,84.7,2
LC-GP-0408,#D09888,13.3,34.6,81.6,3
LC-GP-0409,#D89880,16.4,40.7,84.7,2
LC-GP-0410,#C88878,12.0,40.0,78.4,3
LC-GP-0411,#C88880,6.7,36.0,78.4,3
LC-GP-0412,#C08078,6.7,37.5,75.3,3
LC-GP-0413,#C08878,13.3,37.5,75.3,3
LC-GP-0414,#B07870,7.5,36.4,69.0,4
LC-GP-0415,#C07868,10.9,45.8,75.3,3
LC-GP-0416,#C07870,6.0,41.7,75.3,3
LC-GP-0417,#F8D8D0,12.0,16.1,97.3,1
LC-GP-0418,#E8B8A0,20.0,31.0,91.0,2
LC-GP-0419,#F0C0A8,20.0,30.0,94.1,2
LC-GP-0420,#F0C8A8,26.7,30.0,94.1,2
LC-GP-0421,#E8A088,15.0,41.4,91.0,2
LC-GP-0422,#F8B8A0,16.4,35.5,97.3,1
LC-GP-0423,#E0A8A8,0.0,25.0,87.8,2
LC-GP-0424,#E0B0A0,15.0,28.6,87.8,2
LC-GP-0425,#F0C0B0,15.0,26.7,94.1,2
LC-GP-0426,#E8B0A0,13.3,31.0,91.0,2
LC-GP-0427,#F0B8A0,18.0,33.3,94.1,2
LC-GP-0428,#E0B8A0,22.5,28.6,87.8,2
LC-GP-0429,#F8A888,17.1,45.2,97.3,1
LC-GP-0430,#E8A090,10.9,37.9,91.0,2
LC-GP-0431,#E8A890,16.4,37.9,91.0,2
LC-GP-0432,#F89078,11.2,51.6,97.3,1
LC-GP-0433,#C87880,354.0,40.0,78.4,3
LC-GP-0434,#D08080,0.0,38.5,81.6,3
LC-GP-0435,#C87078,354.5,44.0,78.4,3
LC-GP-0436,#D08880,6.0,38.5,81.6,3
LC-GP-0437,#D08070,10.0,46.2,81.6,3
LC-GP-0438,#C07868,10.9,45.8,75.3,3
LC-GP-0439,#C07068,5.5,45.8,75.3,3
LC-GP-0440,#B87070,0.0,39.1,72.2,4
LC-GP-0441,#B87870,6.7,39.1,72.2,4
LC-GP-0442,#986068,351.4,36.8,59.6,5
LC-GP-0443,#A06068,352.5,40.0,62.7,4
LC-GP-0444,#A05860,353.3,45.0,62.7,4
LC-GP-0445,#984050,349.1,57.9,59.6,5
LC-GP-0446,#803848,346.7,56.2,50.2,5
LC-GP-0447,#904048,354.0,55.6,56.5,5
LC-GP-0448,#903848,349.1,61.1,56.5,5
LC-GP-0449,#B05068,345.0,54.5,69.0,4
LC-GP-0450,#B03848,352.0,68.2,69.0,4
LC-GP-0451,#B03838,0.0,68.2,69.0,4
LC-GP-0452,#882040,341.5,76.5,53.3,5
LC-GP-0453,#981858,330.0,84.2,59.6,5
LC-GP-0454,#782850,330.0,66.7,47.1,6
LC-GP-0455,#881830,347.1,82.4,53.3,5
LC-GP-0456,#801830,346.2,81.2,50.2,5
LC-GP-0457,#702030,348.0,71.4,43.9,6
LC-GP-0458,#602020,0.0,66.7,37.6,7
LC-GP-0459,#883048,343.6,64.7,53.3,5
LC-GP-0460,#904850,353.3,50.0,56.5,5
LC-GP-0461,#A85860,354.0,47.6,65.9,4
LC-GP-0462,#A05868,346.7,45.0,62.7,4
LC-GP-0463,#A04858,349.1,55.0,62.7,4
LC-GP-0464,#905860,351.4,38.9,56.5,5
LC-GP-0465,#A87080,342.9,33.3,65.9,4
LC-GP-0466,#A06878,342.9,35.0,62.7,4
LC-GP-0467,#A87070,0.0,33.3,65.9,4
LC-GP-0468,#A87078,351.4,33.3,65.9,4
LC-GP-0469,#C08890,351.4,29.2,75.3,3
LC-GP-0470,#986068,351.4,36.8,59.6,5
LC-GP-0471,#A05860,353.3,45.0,62.7,4
LC-GP-0472,#905860,351.4,38.9,56.5,5
LC-GP-0473,#B07078,352.5,36.4,69.0,4
LC-GP-0474,#B07888,342.9,31.8,69.0,4
LC-GP-0475,#A87088,334.3,33.3,65.9,4
LC-GP-0476,#B87088,340.0,39.1,72.2,4
LC-GP-0477,#A05070,336.0,50.0,62.7,4
LC-GP-0478,#985070,333.3,47.4,59.6,5
LC-GP-0479,#A85068,343.6,52.4,65.9,4
LC-GP-0480,#B05868,349.1,50.0,69.0,4
LC-GP-0481,#C05070,342.9,58.3,75.3,3
LC-GP-0482,#C05870,346.2,54.2,75.3,3
LC-GP-0483,#A06078,337.5,40.0,62.7,4
LC-GP-0484,#A04070,330.0,60.0,62.7,4
LC-GP-0485,#985078,326.7,47.4,59.6,5
LC-GP-0486,#A05870,340.0,45.0,62.7,4
LC-GP-0487,#805060,340.0,37.5,50.2,5
LC-GP-0488,#805070,320.0,37.5,50.2,5
LC-GP-0489,#784860,330.0,40.0,47.1,6
LC-GP-0490,#683860,310.0,46.2,40.8,6
LC-GP-0491,#785058,348.0,33.3,47.1,6
LC-GP-0492,#784058,334.3,46.7,47.1,6
LC-GP-0493,#884850,352.5,47.1,53.3,5
